Given Name,Last Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Adam,Eaton,WSN,151,656,15,103,49,15,9.90%,16.20%,0.148,0.319,0.279,0.365,0.428,0.342,0.321,108,3.5,10.6,-7,2.4,11205
Kevin,Newman,PIT,130,531,12,61,64,16,5.30%,11.70%,0.138,0.333,0.308,0.353,0.446,0.339,0.297,109,-0.2,6.3,0.5,2.4,17696
Jean,Segura,PHI,144,618,12,79,60,10,4.90%,11.80%,0.141,0.302,0.28,0.323,0.42,0.315,0.304,91,5.7,-1.5,5,2.3,5933
Nick,Ahmed,ARI,158,625,19,79,82,8,8.30%,18.10%,0.183,0.28,0.254,0.316,0.437,0.315,0.32,90,2.2,-5.8,9,2.3,12147
Kole,Calhoun,LAA,152,632,33,92,74,4,11.10%,25.60%,0.236,0.265,0.232,0.325,0.467,0.33,0.332,105,-1.2,2.4,-1.1,2.3,11200
Adam,Frazier,PIT,152,608,10,80,50,5,6.60%,12.30%,0.139,0.306,0.278,0.336,0.417,0.32,0.312,97,0.7,-2,4.9,2.2,15223
Christian,Walker,ARI,152,603,29,86,73,8,11.10%,25.70%,0.217,0.312,0.259,0.348,0.476,0.346,0.363,110,2.6,11,-8.4,2.2,13419
Rhys,Hoskins,PHI,160,705,29,86,85,2,16.50%,24.50%,0.228,0.267,0.226,0.364,0.454,0.347,0.337,112,-2.7,8.5,-9.8,2.1,16472
Charlie,Blackmon,COL,140,634,32,112,86,2,6.30%,16.40%,0.262,0.334,0.314,0.364,0.576,0.387,0.364,127,-4.5,17.8,-16.9,2.1,7859
Andrew,Benintendi,BOS,138,615,13,72,68,10,9.60%,22.80%,0.165,0.333,0.266,0.343,0.431,0.33,0.337,100,2.7,2.9,-4.1,2,17901
Ryan,Braun,MIL,144,508,22,70,75,11,6.70%,20.70%,0.22,0.325,0.285,0.343,0.505,0.354,0.33,117,-0.7,10.5,-6.9,2,3410
Evan,Longoria,SFG,129,508,20,59,69,3,8.50%,22.00%,0.183,0.291,0.254,0.325,0.437,0.322,0.35,100,-1.3,-1.1,4.6,2,9368
Miguel,Rojas,MIA,132,526,5,52,46,9,6.10%,11.80%,0.095,0.314,0.284,0.331,0.379,0.305,0.301,90,-2.9,-9.8,12.6,1.9,7802
Avisail,Garcia,TBR,125,530,20,61,72,10,5.80%,23.60%,0.182,0.34,0.282,0.332,0.464,0.334,0.341,113,-3.5,5.4,-4.2,1.9,5760
Danny,Santana,TEX,130,511,28,81,81,21,4.90%,29.50%,0.251,0.353,0.283,0.324,0.534,0.352,0.342,111,4.6,11.6,-9.8,1.9,10322
Asdrubal,Cabrera,- - -,131,514,18,69,91,4,11.10%,20.00%,0.181,0.294,0.26,0.342,0.441,0.331,0.316,98,-4.2,-5.2,6.9,1.9,4962
Hanser,Alberto,BAL,139,550,12,62,51,4,2.90%,9.10%,0.116,0.318,0.305,0.329,0.422,0.318,0.292,95,-1.7,-4.9,4.8,1.9,11902
Jason,Heyward,CHC,147,589,21,78,62,8,11.50%,18.70%,0.177,0.281,0.251,0.343,0.429,0.328,0.318,100,2.1,1.7,-1.7,1.9,4940
Eloy,Jimenez,CHW,122,504,31,69,79,0,6.00%,26.60%,0.246,0.308,0.267,0.315,0.513,0.343,0.346,115,1.8,11.3,-11,1.8,17484
Shin-Soo,Choo,TEX,151,660,24,93,61,15,11.80%,25.00%,0.19,0.333,0.265,0.371,0.455,0.353,0.358,112,3.8,13.8,-19.2,1.7,3174
Jose,Abreu,CHW,159,693,33,85,123,2,5.20%,21.90%,0.219,0.32,0.284,0.33,0.503,0.344,0.354,115,-5.3,8.3,-15,1.7,15676
Luke,Voit,NYY,118,510,21,72,62,0,13.90%,27.80%,0.2,0.345,0.263,0.378,0.464,0.36,0.36,126,-3.8,13.1,-13.6,1.7,14811
Cesar,Hernandez,PHI,161,667,14,77,71,9,6.70%,15.00%,0.129,0.313,0.279,0.333,0.408,0.315,0.298,91,1.5,-6.2,1.6,1.7,10556
Daniel,Vogelbach,SEA,144,558,30,73,76,0,16.50%,26.70%,0.232,0.232,0.208,0.341,0.439,0.333,0.343,112,-0.1,8.1,-11.2,1.6,14130
Dexter,Fowler,STL,150,574,19,69,67,8,12.90%,24.70%,0.17,0.294,0.238,0.346,0.409,0.326,0.336,103,-0.3,2.3,-4.7,1.6,4062
Wilson,Ramos,NYM,141,524,14,52,73,1,8.40%,13.20%,0.129,0.31,0.288,0.351,0.416,0.327,0.314,106,-5.8,-1.4,-0.1,1.5,1433
Lorenzo,Cain,MIL,148,623,11,75,48,18,8.00%,17.00%,0.112,0.301,0.26,0.325,0.372,0.302,0.328,83,0.4,-13.8,9,1.5,9077
Kevin,Pillar,- - -,161,645,21,83,88,14,2.80%,13.80%,0.173,0.27,0.259,0.287,0.432,0.298,0.296,84,6,-7.4,1.2,1.4,12434
Dansby,Swanson,ATL,127,545,17,77,65,10,9.40%,22.80%,0.172,0.3,0.251,0.325,0.422,0.317,0.35,91,3.9,-2.2,-0.8,1.4,18314
Elvis,Andrus,TEX,147,648,12,81,72,31,5.20%,14.80%,0.118,0.305,0.275,0.313,0.393,0.3,0.303,76,3.5,-16.5,8.5,1.4,8709
Jose,Iglesias,CIN,146,530,11,62,59,6,3.80%,13.20%,0.119,0.315,0.288,0.318,0.407,0.306,0.273,82,-1.9,-14.7,11.9,1.4,10231
Jackie,Bradley,BOS,147,567,21,69,62,8,9.90%,27.30%,0.196,0.281,0.225,0.317,0.421,0.314,0.312,89,0.5,-7.1,1.3,1.4,12984
Freddy,Galvis,- - -,147,589,23,67,70,4,4.80%,24.60%,0.178,0.312,0.26,0.296,0.438,0.307,0.276,89,-0.8,-9.4,3.1,1.4,6609
Jurickson,Profar,OAK,139,518,20,65,67,9,9.30%,14.50%,0.192,0.218,0.218,0.301,0.41,0.301,0.32,90,1.8,-5.1,0.7,1.3,10815
Starlin,Castro,MIA,162,676,22,68,86,2,4.10%,16.40%,0.165,0.293,0.27,0.3,0.436,0.307,0.312,91,-4.2,-12.2,3.6,1.3,4579
Jason,Kipnis,CLE,121,511,17,52,65,7,7.80%,17.20%,0.166,0.265,0.245,0.304,0.41,0.301,0.312,86,0,-9.5,4.8,1.3,9776
Alex,Gordon,KCR,150,633,13,77,76,5,8.10%,15.80%,0.129,0.301,0.266,0.345,0.396,0.319,0.326,95,-2.4,-6.1,-3.5,1.2,5209
Yasiel,Puig,- - -,149,611,24,76,84,19,7.20%,21.80%,0.191,0.308,0.267,0.327,0.458,0.33,0.317,100,-0.9,-0.8,-7.1,1.2,14225
Eddie,Rosario,MIN,137,590,32,91,109,3,3.70%,14.60%,0.224,0.273,0.276,0.3,0.5,0.329,0.322,104,0.2,3.2,-11.7,1.2,12155
Leury,Garcia,CHW,140,618,8,93,40,15,3.40%,22.50%,0.099,0.353,0.279,0.31,0.378,0.294,0.267,82,5.6,-8.8,-0.9,1.2,5913
Franmil,Reyes,- - -,150,548,37,69,81,0,8.60%,28.50%,0.263,0.279,0.249,0.31,0.512,0.338,0.36,111,-3.2,4.5,-11.5,1.1,14566
Josh,Reddick,HOU,141,550,14,57,56,5,6.50%,12.00%,0.134,0.288,0.275,0.319,0.409,0.308,0.307,92,0.4,-4.9,-4.9,0.9,3892
Yolmer,Sanchez,CHW,149,555,2,59,43,5,7.90%,21.10%,0.069,0.324,0.252,0.318,0.321,0.281,0.269,73,2,-17.3,7,0.9,11602
Ryan,McMahon,COL,141,539,24,70,83,5,10.40%,29.70%,0.2,0.323,0.25,0.329,0.45,0.33,0.323,89,0.1,-7.8,-2.6,0.7,15112
Renato,Nunez,BAL,151,599,31,72,90,1,7.30%,23.90%,0.216,0.272,0.244,0.311,0.46,0.323,0.332,99,0.3,-0.8,-14.7,0.5,14503
Randal,Grichuk,TOR,151,628,31,75,80,2,5.60%,26.00%,0.225,0.266,0.232,0.28,0.457,0.307,0.299,90,-3.8,-12.1,-4.5,0.5,10243
Joey,Votto,CIN,142,608,15,79,47,5,12.50%,20.20%,0.15,0.313,0.261,0.357,0.411,0.332,0.341,98,-3.9,-5.3,-9.4,0.5,4314
Brandon,Belt,SFG,156,616,17,76,57,4,13.50%,20.60%,0.169,0.275,0.234,0.339,0.403,0.319,0.346,98,-1.6,-3.1,-12.9,0.4,10264
Vladimir,Guerrero,TOR,123,514,15,52,69,0,8.90%,17.70%,0.162,0.308,0.272,0.339,0.433,0.329,0.326,105,-6.6,-3.4,-10.6,0.4,19611
Brandon,Crawford,SFG,147,560,11,58,59,3,9.50%,20.90%,0.122,0.274,0.228,0.304,0.35,0.281,0.303,73,-0.9,-20.8,5.9,0.3,5343
Rougned,Odor,TEX,145,581,30,77,93,11,9.00%,30.60%,0.234,0.244,0.205,0.283,0.439,0.302,0.315,77,2.2,-14.9,-2.3,0.3,12282
Colin,Moran,PIT,149,503,13,46,80,0,6.00%,23.30%,0.152,0.341,0.277,0.322,0.429,0.315,0.31,93,-3.4,-7.8,-7.8,0.1,16909
Mallex,Smith,SEA,134,566,6,70,37,46,7.40%,24.90%,0.108,0.302,0.227,0.3,0.335,0.278,0.25,74,8.5,-10.1,-9.3,0.1,13608
Domingo,Santana,SEA,121,507,21,63,69,8,9.90%,32.30%,0.188,0.347,0.253,0.329,0.441,0.326,0.334,107,0.5,5.1,-22.4,0.1,10348
Adam,Jones,ARI,137,528,16,66,67,2,5.90%,19.10%,0.155,0.296,0.26,0.313,0.414,0.308,0.315,86,-2,-11.7,-7.5,-0.2,6368
Eric,Hosmer,SDP,160,667,22,72,99,0,6.00%,24.40%,0.16,0.323,0.265,0.31,0.425,0.309,0.305,92,-5.2,-12.1,-12.4,-0.3,3516
Miguel,Cabrera,DET,136,549,12,41,59,0,8.70%,19.70%,0.116,0.336,0.282,0.346,0.398,0.318,0.326,97,-6.3,-8.4,-13.9,-0.3,1744
Orlando,Arcia,MIL,152,546,15,51,59,8,7.90%,20.00%,0.128,0.253,0.223,0.283,0.35,0.269,0.271,61,0.9,-27.3,5.4,-0.4,13185
Albert,Pujols,LAA,131,545,23,55,93,3,7.90%,12.50%,0.185,0.238,0.244,0.305,0.43,0.308,0.313,90,-4.4,-11.4,-13.9,-0.6,1177
Khris,Davis,OAK,133,533,23,61,73,0,8.80%,27.40%,0.166,0.264,0.22,0.293,0.387,0.289,0.312,81,-2.2,-15,-13.5,-0.9,9112
